id,name,spotify_id,thumbnail
283,Hozier,,MYSVMgRr6pw
275,Flying Lotus,29XOeO6KIWxGthejQqn793,2uCyv05SG1g
288,James Blake,,5S6U_krabrk
304,Two Door Cinema Club,,sKyK1Mme9Sc
315,Casey Derhak,,#NAME?
316,G-Eazy x Bebe Rexha,,bSfpSOBD30U
327,Years and Years,,H3T2RnTBp_4
330,D.R.A.M.,,jzMhcP7ab3k
196,Sombear,4utnV0ZxDPidklLpyc4JAC,aSjCJdRFbpk
234,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,oIIxlgcuQRU
172,Rizzle Kicks,2ajhZ7EA6Dec0kaWiKCApF,8ip8OsExLJs
174,Robin Thicke feat. Pharrell Williams,,_VTY8ftr1vY
176,Rock U Tonight,,_FD5u2TO-f8
183,Sasha Keeble,,OcAMZmph6j8
186,Shlomo,,tv8Se8xSMiw
188,Shlomo fet. Jeremih,,K0YgU75_ZG0
189,Shwayze,,_sDflY5UfRo
190,Sinead Harnett ft. Snakehips,,FnIoZsD2X84
193,Snakehips,,EWb8oUwubWg
195,SOHN,,C6zv_5zGEso
200,Sylvan Esso,,Qr5AIKRPIHo
201,T. Williams feat. TALA,,_3ZI_TGTJ0g
202,T. Williams ft. Tendai,,SPXWK_7nXuc
205,Taylor Swift,,e-ORhEE9VVg
204,Tame Impala,,BgK_Er7WZVg
208,The Knocks feat. Powers,,emOKaGi8u5U
213,The Shins,,RoLTPcD1S4Q
217,Toro Y Moi,,ILvMOC4H9EM
219,Son Lux,,yRyMoyRPrr8
221,Yeasayer,,JyBl5ZgnEr4
223,Young Dreams,,2CAF26JV9qs
226,Blackjack Billy,,74UWc5EJJQI
229,Odesza feat. Zyra,,QMssNXBCCl0
232,The Kooks,,3tUh-x-fp8Q
235,Tyler The Creator,,XIqVCJWSoeE
242,Jakubi,,uX8yoT9ct6k
244,BORNS,,L4GrDOOIIbk
247,Klangkarussell,,79YDgv_zWA4
253,Major Lazer,738wLrAtLtCtFOLvQBXOXp,iNPqddkkcI4
255,Twenty One Pilots,,pXRviuL6vMY
256,Gorillaz,,H8Qp38qT-xI
257,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,bd2B6SjMh_w
264,Benny Benassi,,JPtQ4K-evBo
267,Daughter,,2QT5eGHCJdE
268,Enur,1BQaZSq1KsLOZGzjG5QxRC,WL1hlzLsUaU
271,Fetty Wap,,i_kF4zLNKio
272,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,3yDP9MKVhZc
273,Flatbush Zombies,,kfzRXseSBIM
276,Nomadic Firs,,GQpz7mT1aYw
280,HAIM,,AIjVpRAXK18
281,Henry Krinkle,,1Rv6KCBI3vg
284,Ibeya,,nAzjmDZD4aY
289,KYGO,,sYLufX5nC30
291,Madeon feat. Passion Pit,,bQweR2QH1Io
292,Matt Easton,,ktIgwt92WNA
293,Mount Kimbie,,GRVwtSmgKP8
295,Swedish House Mafia,,PDboaDrHGbA
296,The Flaming Lips,,ZdDHi5SSIlM
298,The Wombats,,9MHmx9nvHqU
302,Trinidad James,,NK2FqPNIT_U
305,Tyga ft. Lil Wayne,,LbouTdwOrVw
307,Wale ft. Gucci Mane,,j8YxSzXnZ40
306,Vince Staples,68kEuyFKyqrdQQLLsmiatm,NJLfCBBcZAo
310,Ohana Bam,,v__NaQ8xMLc
317,Glass Animals,,IIA1XQnAv5s
318,Sevdaliza,,koAtzvSBvfE
319,ZHU,28j8lBWDdDSHSSt5oPlsX2,5_ARibfCMhw
320,Major Laser,,GZSsOEqgm0c
321,Miami Horror ft. Sarah Chernoff,,dDIJ-jqYulI
322,Never Say Never,4mvYS48EvFYVwkE8zeGJa6,U0eS3zC3Jco
323,New Navy,,c3BFUVzRtMo
331,Marian Hill,1xHQO9GJIW9OXHxGBISYc5,upEX2JMp3c0
332,Photay,,Mw6-1zGM4wM
333,ILoveMakonnen,,avFq9errZCk
197,Phantogram,1l9d7B8W0IHy3LqWsxP2SH,RsQjC5zVnt8
212,The Neighborhood,0jjswMR8vw4qzdzPdVfcIm,GCdwKhTtNNw
3,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,6vwNcNOTVzY
10,Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,PArF9k2SbQk
24,D.R.A.M.,5M0lbkGluOPXLeFjApw8r8,0cDmBByFekQ
342,T-Pain,,dBrRBZy8OTs
9,Ambassadeurs,6BKSRVMfQ6Aeux4rKG1h9H,qYqjOcsXjMI
7,Alt-J,3XHO7cRUPCLOr6jwp8vsx5,npvNPORFXpc
34,Blood Diamond,4yuvRDaF5kWkFLq6q1Fev4,nIk0ztHU3yU
154,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,dLa_ryRjC7M
155,Panama,4Cjsh7anKDaMnQ3YHB1Xwq,YMKZIaIN7O4
45,Cherub,00dwwnz3V4kRfu3UFYpJLz,8h3t2h4NKPY
23,Bag Raiders,6fXEqmGQEt6ONuqVmwrN46,feA64wXhbjo
68,Giraffage,4kubsO16bEfCADaVUyoYb6,3Hv1DElPXV0
22,B.o.B,5ndkK3dpZLKtBklKjxNQwT,IoBP24I2lwA
74,Duck Sauce,0q8J3Yj810t5cpAYEJ7gxt,J2ouQMCcOz4
78,Earl Sweatshirt,3A5tHz1SfngyOZM2gItYKu,FCbWLSZrZfw
83,Fyfe,1xkxEEm60IyknT2Eh469mX,oLGnR0UldCM
89,Jonas Rathsman,0evBopfnhhbHzmHebWTDx7,llYWjltBUPU
