id,vid,name,artist,genre,tages,created_at,,staff,likes,director
136,Bznxx12Ptl0,I'm an Albatraoz,AronChupa,", electro house, nu-disco, hip hop, hip house, electropop, melbourne bounce,",,12/25/15 0:00,,0,0,
141,iXZxipry6kE,Shabba,ASAP Ferg,", hip hop,",,12/25/15 0:00,,0,0,
212,r6I2Ek_j_Xc,Wassup,ASAP Rocky,", hip hop,",,12/25/15 0:00,,0,0,
434,KuZ2QZKYj7c,Purple Swag,ASAP Rocky,", hip hop,",,12/25/15 0:00,,0,0,
381,qYx7YG0RsFY,I Love College,Asher Roth,", hip hop,",,12/25/15 0:00,,0,0,
45,Jrd25gjyDhE,Seek Bromance,Avicii,", edm, house, progressive house,",,12/25/15 0:00,,0,0,
115,UtF6Jej8yb4,The Nights,Avicii,", edm, house, progressive house,",,12/25/15 0:00,,0,0,
188,IcrbM1l_BoI,Wake Me Up,Avicii,", edm, house, progressive house,",,12/25/15 0:00,,0,0,
5,ZlWRhnYgWcc,Liquorice,Azealia Banks,", hardcore hip hop, dance-pop, indie pop, dance,",hip-hop/jam,12/25/15 0:00,,0,0,
191,i3Jv9fNPjgk,212,Azealia Banks,", hardcore hip hop, dance-pop, indie pop, dance,",,12/25/15 0:00,,0,0,
137,IoBP24I2lwA,So Good,B.o.B,", hip hop, pop, rock,",,12/25/15 0:00,,0,0,
106,feA64wXhbjo,Shooting Stars,Bag Raiders,", alternative dance, electronica,synthpop, indietronica, house,",,12/25/15 0:00,,0,0,
415,cMFWFhTFohk,The Funeral,Band of Horses,", indie rock, southern rock, alternative country, folk,",,12/25/15 0:00,,0,0,
416,cuZo7pLnL7c,No One's Gonna Love You,Band of Horses,", indie rock, southern rock, alternative country, folk,",,12/25/15 0:00,,0,0,
395,Ucm-O93w91A,My Turn,Basement Jaxx,", house, electric, uk garage, big beat,",chill/electronic,12/25/15 0:00,,0,0,
224,OS6duOoxctw,Wishes,Beach House,", dream pop, indie rock,",,12/25/15 0:00,,0,0,
225,BfzFVbkutFE,Lazuli,Beach House,", dream pop, indie rock,",,12/25/15 0:00,,0,0,
89,pGXBR1wR-mo,Above the Clouds of Pompeii,Bear's Den,", folk rock, indie folk,",,12/25/15 0:00,,0,0,
339,q1MmYVcDyMs,Agape,Bear's Den,", folk rock, indie folk,",,12/25/15 0:00,,0,0,
300,OhvH1pyVLzw,Before You Go,Beat Culture,", electronic,",,12/25/15 0:00,,0,0,
88,x8ccDb6n5Wg,Old Pine,Ben Howard,", folk, rock,",,12/25/15 0:00,,0,0,
172,JPtQ4K-evBo,Satisfaction,Benny Benassi,", edm, electronic, techno, minimal techno,",,12/25/15 0:00,,0,0,
431,2XY3AvVgDns,Countdown,Beyonce,", r&b, pop, hip hop, soul,",,12/25/15 0:00,,0,0,
251,EeTPi2a2Ld4,My Last,Big Sean,", hip hop,",,12/25/15 0:00,,0,0,
175,cZaJYDPY-YQ,I Don't Fuck With You,Big Sean,", hip hop,",,12/25/15 0:00,,0,0,
140,M6t47RI4bns,Blessings,Big Sean,", hip hop,",,12/25/15 0:00,,0,0,
252,9iCd6UHR-3I,Still Fly,Big Tymers,", hip hop, southern rap,",,12/25/15 0:00,,0,0,
30,NhheiPTdZCw,The Music Scene,Blockhead,", instrumental hip hop, trip hop, downtempo, electronic, idm,",,12/25/15 0:00,,0,0,
109,nIk0ztHU3yU,Barcode,Blood Diamond,", electronic, hip hop,",,12/25/15 0:00,,0,0,
81,_GiEoLXC9nk,Phone Sex,Blood Diamonds and Grimes,", electronic, synthpop, dream pop, electropop, ethereal, wave, ambient ,",,12/25/15 0:00,,0,0,
239,b-YmjBdNqc4,Baby I Got That,Bondax,", electropop,",,12/25/15 0:00,,0,0,
240,LPTE9SxYUVE,All I See,Bondax,", electropop,",,12/25/15 0:00,,0,0,
245,BJj_0uiaRFM,Gold,Bondax,", electropop,",,12/25/15 0:00,,0,0,
27,isQlpw57L1M,"Gold (Snakehips Remix),",Bondax,", electropop,",,12/25/15 0:00,,0,0,
20,L4GrDOOIIbk,"10,000 Emerald Pools",BORNS,", indie pop, psychedelic pop,",water/pool/swimming,12/25/15 0:00,,0,0,
190,m0EiujcV3Tg,Jack,Breach,", electronic, dance,",,12/25/15 0:00,,0,0,
335,h2S3RvIHwGs,Blackout,Breathe Carolina,", electropop, edm, electronic rock,",,12/25/15 0:00,,0,0,
71,flNm0uy98eI,In Mind,Brothertiger,", electronic,",,12/25/15 0:00,,0,0,
152,U9UTyX-qqVY,Timeless Dream,Cajoline ,", electronic, disco,",,12/25/15 0:00,,0,0,
42,ebXbLfLACGM,Summer,Calvin Harris,", edm, electro house, electropop, dance-pop, nu-disco,",,12/25/15 0:00,,0,0,
262,6ACl8s_tBzE,Blame,Calvin Harris,", edm, electro house, electropop, dance-pop, nu-disco,",,12/25/15 0:00,,0,0,
263,dGghkjpNCQ8,Feel So Close,Calvin Harris,", edm, electro house, electropop, dance-pop, nu-disco,",,12/25/15 0:00,,0,0,
264,cl3b7dDBLpo,Thinking About You,Calvin Harris,", edm, electro house, electropop, dance-pop, nu-disco,",,12/25/15 0:00,,0,0,
166,ooZwmeUfuXg,Bounce,Calvin Harris,", edm, electro house, electropop, dance-pop, nu-disco,",,12/25/15 0:00,,0,0,
338,elyk9MBY72U,Cameo Lover,Kimbra,", alternative pop, indie rock, alternative dance, alternative r&b, jazz, electropop,",,12/25/15 0:00,,0,0,
390,ZJQO_228-UA,I Like Tuh,Carnage,", hip hop, r&b,",,12/25/15 0:00,,0,0,
19,30RLLTGrgxU,Sauna,Casey Veggies,", hip hop,",sauna/steam/hip-hop,12/25/15 0:00,,0,0,
299,AOPMlIIg_38,Boom Clap,Charli XCX,", electropop, dance pop,",,12/25/15 0:00,,0,0,
368,cHuRtBA5Esg,Boom Clap (Aeroplane Remix),Charli XCX,", electropop, dance pop,",,12/25/15 0:00,,0,0,
80,XlZtvEM5mf4,Doses and Mimosas,Cherub,", nu-disco, electro-indie,",,12/25/15 0:00,,0,0,
158,8h3t2h4NKPY,Doses and Mimosas,Cherub,", nu-disco, electro-indie,",,12/25/15 0:00,,0,0,
72,hi4pzKvuEQM,Gold,Chet Faker,", electronic, pbr&b, downtemp, soul, trip hop,",,12/25/15 0:00,,0,0,
147,EIQQnoeepgU,1998,Chet Faker,", electronic, pbr&b, downtemp, soul, trip hop,",,12/25/15 0:00,,0,0,
149,_uiVt21bp_s,Talk is Cheap,Chet Faker,", electronic, pbr&b, downtemp, soul, trip hop,",,12/25/15 0:00,,0,0,
442,aP_-P_BS6KY,Talk Is Cheap,Chet Faker,", electronic, pbr&b, downtemp, soul, trip hop,",,12/25/15 0:00,,0,0,
268,5idPxzDg0VI,"""Ambidextrous"" - The Signal",Chief WaKil,", hip hop,",,12/25/15 0:00,,0,0,
128,jx96Twg-Aew,Sober,Childish Gambino,", hip hop, r&b, alternative hip hop,",,12/25/15 0:00,,0,0,
129,tG35R8F2j8k,3005,Childish Gambino,", hip hop, r&b, alternative hip hop,",,12/25/15 0:00,,0,0,
130,p3f-eDzkxcw,Telegraph Ave,Childish Gambino,", hip hop, r&b, alternative hip hop,",,12/25/15 0:00,,0,0,
168,ExVtrghW5Y4,Sweatpants,Childish Gambino,", hip hop, r&b, alternative hip hop,",,12/25/15 0:00,,0,0,
13,dwUug-ucBLc,The Worst Guys,Childish Gambino,", hip hop, r&b, alternative hip hop,",hip-hop/beach,12/25/15 0:00,,0,0,
64,hZf_xexzN74,Cold Nights,Chordashian,", electronic,",,12/25/15 0:00,,0,0,
139,zKCrSN9oXgQ,Ayo,Chris Brown,", hip hop,",,12/25/15 0:00,,0,0,
75,KrMl32cuC2A,So Good To Me,Chris Malinchak,", house, deep house,",,12/25/15 0:00,,0,0,
151,16yiEXhOukg,My Body,Cleavage,", house,",,12/25/15 0:00,,0,0,
348,mTzEp4CeWT8,West Coast,Coconut Records,", indie, rock, pop,",,12/25/15 0:00,,0,0,
15,Teyy1A_AJso,I'm the Man That Will Find You,Connan Mockasin,", psychedelic pop, psychedelic rock, neo-psychedelia, dream pop, space rock,",creeper/love,12/25/15 0:00,,0,0,
133,c-jKfLXYQqw,High Road,Cults,", indie rock, pop,",,12/25/15 0:00,,0,0,
48,KJRaKhURMEA,Happy Violence,Dada Life,", electro house, progressive house,",,12/25/15 0:00,,0,0,
