pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_week,vid,song_id,updated_at,pop_trending
6486671,6482515,6475645,6469170,6466141,6458275,6450398,36273,QMssNXBCCl0,,2017-01-29 00:01:02,56
250490272,250166211,249538625,248934887,248666174,247957135,247098455,3391817,SDTZ7iX4vTQ,,2017-01-29 00:01:02,137
2086889,2085164,2082215,2079649,2078290,2074899,2071459,15430,Gxu248aD6PY,,2017-01-29 00:01:02,74
65035,64918,64673,64430,64316,64139,63914,1121,WwxZi_ZK0mw,,2017-01-29 00:01:02,175
49609,49233,48568,47998,47546,46703,45412,4197,2y84jB2_DpA,,2017-01-29 00:01:02,924
1718602081,1716609392,1713227156,1710629542,1709222186,1705635009,1702232915,16369166,7PCkvCPvDXk,,2017-01-29 00:01:02,96
113919021,113882068,113817444,113756359,113721934,113647877,113578378,340643,GxgqpCdOKak,,2017-01-29 00:01:02,30
1390784,1390481,1389939,1389460,1389224,1388649,1388148,2636,sRnMPHYqgh8,,2017-01-29 00:01:02,19
303090,302984,302794,302622,302529,302316,302157,933,qYqjOcsXjMI,,2017-01-29 00:01:02,31
190025982,189931099,189776973,189631495,189550037,189351811,189186845,839137,6vYnas6q3Sg,,2017-01-29 00:01:02,44
3462935,3461259,3457965,3455204,3453938,3451017,3447836,15099,mJsVCi0UsSM,,2017-01-29 00:01:02,44
5209953,5208479,5206263,5204181,5203079,5200451,5198050,11903,GnXqUHgNgs0,,2017-01-29 00:01:02,23
298364157,298096653,297600591,297123364,296907515,296369669,295860674,2503483,CvBfHwUxHIk,,2017-01-29 00:01:02,85
4203821,4197934,4184626,4173374,4167723,4156856,4145668,58153,hvZJI8rerWA,,2017-01-29 00:01:02,140
102829191,102711279,102533483,102350538,102255294,102050904,101847541,981650,2lTB1pIg1y0,,2017-01-29 00:01:02,96
29494276,29465096,29404621,29346774,29315754,29258212,29188213,306063,dCCXq9QB-dQ,,2017-01-29 00:01:02,105
1351475,1349562,1345556,1341887,1340174,1336677,1333100,18375,xnBjwrRmo2U,,2017-01-29 00:01:02,138
1086594,1086542,1086433,1086333,1086276,1086174,1086070,524,7gwXpLpfb3Y,,2017-01-29 00:01:02,5
87499421,87378804,87186569,87007173,86920271,86664414,86457783,1041638,_JZom_gVfuw,,2017-01-29 00:01:02,120
138636764,138593578,138512483,138422757,138375955,138211588,138100167,536597,avFq9errZCk,,2017-01-29 00:01:02,39
6492762,6481690,6460311,6438583,6428723,6405821,6386189,106573,stoLqWXsIOY,,2017-01-29 00:01:02,167
9454627,9437764,9405490,9374075,9359475,9327403,9293986,160641,zmY8mG4_3j4,,2017-01-29 00:01:02,173
1832844,1821202,1800841,1781963,1772669,1753394,1731315,101529,koAtzvSBvfE,,2017-01-29 00:01:02,586
4341456,4340478,4338830,4337271,4336398,4334248,4332453,9003,7d_HD89ZlJE,,2017-01-29 00:01:02,21
635508,635265,634973,634724,634575,634208,633842,1666,erpGx3zf6uQ,,2017-01-29 00:01:02,26
43017712,43006507,42986970,42968822,42959608,42936909,42916351,101361,WL1hlzLsUaU,,2017-01-29 00:01:02,24
215502,215406,215133,214846,214717,214204,213818,1684,xhc6DmKkCDI,,2017-01-29 00:01:02,79
5416077,5415389,5414244,5413285,5412794,5411463,5410270,5807,j8YxSzXnZ40,,2017-01-29 00:01:02,11
13220741,13215765,13206595,13197428,13193062,13181105,13170907,49834,qs1bG6BIYlo,,2017-01-29 00:01:02,38
9611836,9599497,9568810,9540710,9525703,9493838,9462612,149224,RoLTPcD1S4Q,,2017-01-29 00:01:02,158
20521941,20516619,20506171,20496829,20491353,20478263,20466128,55813,Jg5wkZ-dJXA,,2017-01-29 00:01:02,27
5301909,5292809,5276800,5268492,5251958,5242944,5234141,67768,bSdtvfBQd6c,,2016-06-11 00:01:14,129
1191324880,1190132311,1188388508,1186677129,1185731756,1182973085,1181012984,10311896,vjW8wmF5VWc,,2017-01-29 00:01:02,87
193209,193088,192923,192750,192669,192495,192323,886,_Afy5B-rWoc,,2017-01-29 00:01:02,46
8693991,8683222,8657473,8637016,8627729,8604472,8584585,109406,hefh9dFnChY,,2017-01-29 00:01:02,127
62139014,62129191,62113400,62099213,62091046,62072617,62056623,82391,LbouTdwOrVw,,2017-01-29 00:01:02,13
6592862,6587511,6577588,6568931,6564508,6554097,6544095,48767,_ZTYgq4EoRo,,2017-01-29 00:01:02,75
927234,926931,926406,925861,925592,925016,924494,2740,b-YmjBdNqc4,,2017-01-29 00:01:02,30
16353894,16353332,16352339,16351494,16351078,16349939,16348913,4981,nAQVGx1vzrk,,2017-01-29 00:01:02,3
10109891,10077447,10014886,9938008,9907053,9839540,9771847,338044,UPo7iNKoCGQ,,2016-03-03 00:07:36,346
