id,name,playlist_name,spotify_id,spotify_songid
3929,Let The Beat Build,NULL,1257265982,449TvoQNPJGhnNNpvB4EPr
3930,Throw Some D's,NULL,1257265982,6SmPPtaMnfxgz5duA6t9Cu
3931,A Milli,NULL,1257265982,6ScJMrlpiLfZUGtWp4QIVt
3932,CoCo,NULL,1257265982,2JI71GHwq2LN8mtq3iCLYo
3933,Buy You A Round (Up And Down) - Main,NULL,1257265982,0z8WoubXA6uvdIhtmxgEQe
3934,XXYYXX ft_ 2 Chainz - About You (DJ Fergie Ferg Trap Edit)-[www_flvto_com],NULL,1257265982,NULL
3935,Fields,NULL,1257265982,30Ad8vklESoJateoqdJ0rU
3936,Wildfire (feat. Little Dragon),NULL,1257265982,2WMRd3xAb9FwXopCRNWDq1
3937,Got Somebody,NULL,1257265982,NULL
3938,The Mother We Share,NULL,1257265982,77hY8WQ9bgSXaAH5jmgzHN
3939,Fineshrine,NULL,1257265982,5KeyVNymqfqac1wLDseK8v
3940,You,NULL,1257265982,4WOdNbZZQ1yWNqzrvjuPUx
3941,Teenage Crime - Radio Edit,NULL,1257265982,3fhIqRB2hbE7kndpMoGIlY
3942,I Follow Rivers - The Magician Remix,NULL,1257265982,4Jv7lweGIUOFQ7Oq2AtAh9
3943,Shooting Stars,NULL,1257265982,5p6ecNers2CGgfWsJGQtrk
3944,Crave You,NULL,1257265982,20qWgXY0EZIm0hSzuU91Hk
3945,Polish Girl,NULL,1257265982,2JGSZk5y65ZF79mtDz0o9r
3946,I <3 U SO,NULL,1257265982,5AblLyBq3BDpDoo1vgXZYO
3947,Sail,NULL,1257265982,7ueP5u2qkdZbIPN2YA6LR0
3948,Peanut Butter,NULL,1257265982,1uL6ICefDI2e4QdhFhJ00O
3949,Houdini (RAC Mix),NULL,1257265982,4MEUWuPQ11B1Iu6rNYgh9G
3950,Fifteen,NULL,1257265982,4PUAjhaBoC6yRSztUuRxsm
3951,Genesis,NULL,1257265982,4sCYKMatyhazyy6r2N7Hp2
3952,Oblivion,NULL,1257265982,4P6n0udLAnmCNXVcobYbsK
3953,I Wanna Go,NULL,1257265982,3EA4HwrlLdDJ3b4cX7JfqC
3954,Crawlersout,NULL,1257265982,1VS2WwN3H4SNWMIrAzYqUi
3955,Lofticries,NULL,1257265982,45aZM1UAGfThfsQ6haapFu
3956,Ungirthed,NULL,1257265982,1DeuZgn99eUC1hreXTWBvY
3957,California Sunrise,NULL,1257265982,3EFtOwichs5seBabPVCWTL
3958,September,NULL,1257265982,5u4q8PgOpFOa5tG4yrFAzw
3959,Before The Dive,NULL,1257265982,4mNFQGXQmTCdyhAGjaNVSb
3960,Only You Can Show Me,NULL,1257265982,2KdHQmAantkFtPYVUarnV6
3961,Placid Acid,NULL,1257265982,6zCjtlfwbpn0bfNmAPJCXK
3962,Turquoise,NULL,1257265982,NULL
3963,The Suburbs,NULL,1257265982,7DhbRXMrdhblrRuM0DphOF
3964,White Noise,NULL,1257265982,NULL
3965,All I Want For Christmas Is You - Original Version,NULL,1257265982,5KdPyhcsQ5PvkvPBq6lLti
3966,Let It Snow! Let It Snow! Let It Snow!,NULL,1257265982,7inXu0Eaeg02VsM8kHNvzM
3967,Jingle Bells,NULL,1257265982,7N2hNvCF606dEcaloV1j38
3968,Have Yourself A Merry Little Christmas - 1999 - Remaster,NULL,1257265982,4Pz6cdihrKr8QKpTB9GFso
3969,I'll Be Home For Christmas (If Only In My Dreams) - 1999 - Remaster,NULL,1257265982,1VT4dQGeZWaqCLVecr34VZ
3970,White Christmas - 1999 - Remaster,NULL,1257265982,1ze36ZIIjNZfqbAadnKAdx
3971,Silver Bells,NULL,1257265982,6k3PK8WeL2ZyMzVpQJuhWv
3972,What Christmas Means To Me,NULL,1257265982,5I2Zw1tJXoswUSnKkJSuwX
3973,The Christmas Song (Merry Christmas To You),NULL,1257265982,1l2CvcIAL1MtPbtZhh0Z77
3974,"Baby, Its Cold Outside",NULL,1257265982,3Lm6FlG5x4l20s7Lfw1RPv
3975,White Christmas - 2006 Digital Remaster,NULL,1257265982,6ajihXpsHpDnIdqtBXZYGN
3976,Have Yourself a Merry Little Christmas - 2006 - Remaster,NULL,1257265982,1FduC6uCkVl3ixBo2eh8GA
3977,Winter Wonderland - 2006 - Remaster,NULL,1257265982,2IuUMx3uxxJAHcH41aYtn0
3978,What Child Is This?/The Holly and the Ivy (Medley) - 2006 - Remaster,NULL,1257265982,6OJdXv1Q5OdLgYolFEunJ4
3979,The Little Drummer Boy - 2006 - Remaster,NULL,1257265982,0pAT3JUEjIiqUkwxE0vbBQ
3980,O Holy Night - 2006 - Remaster,NULL,1257265982,2FFXaW3iGOcXhhwhewWoCG
3981,The Littlest Angel - 2006 Digital Remaster,NULL,1257265982,4iz7dS7VphH8E4idqqN7xK
3982,Let It Snow! Let It Snow! Let It Snow! - 2006 - Remaster,NULL,1257265982,528QCNvYD78GpDh10YWOwC
3983,Hark! The Herald Angels Sing/It Came Upon a Midnight Clear (Medley) - 2006 - Remaster,NULL,1257265982,4BgkhT5HythXhIBqU2WvhX
3984,Frosty the Snowman - 2006 - Remaster,NULL,1257265982,35MqcEIVZ7svbBpRt4N30g
3985,Rudolph The Red-Nosed Reindeer,NULL,1257265982,0XUARKkBvikXDEjSzdkWFP
3986,I Wish You a Merry Christmas - 2006 - Remaster,NULL,1257265982,26hUXfKoJYkAMK07nW2dzQ
3987,Do You Hear What I Hear? - 2006 - Remaster,NULL,1257265982,5aDoUmxBsbdpS16alksb5Z
3988,Pat-A-Pan/While Shepherds Watched Their Flocks By Night (Medley) - 2006 Digital Remaster,NULL,1257265982,7wIfv25mrMojTGq0YVJbqM
3989,Peace On Earth/Little Drummer Boy (Medley) - 2006 Digital Remaster,NULL,1257265982,70NOg6tFxb0WoHb9ZJ1C5H
3990,"Baby, It's Cold Outside - 2004 - Remastered",NULL,1257265982,4uQqahi1iUP35xE2qGdKdo
3991,The Christmas Waltz - 2004 Digital Remaster,NULL,1257265982,2lG9U6SYKTpoUBLspRbyMc
3992,I've Got My Love To Keep Me Warm - 2004 Digital Remaster,NULL,1257265982,1X00jlqYdeImTkMr6hbjCb
3993,Have Yourself A Merry Little Christmas - 2004 Digital Remaster,NULL,1257265982,0KhSyTLxO3JsWHCA1zmgXh
3994,Sleigh Ride - 2004 Digital Remaster,NULL,1257265982,2GV0Jy7CenIKxmUrktdoAo
3995,Sleigh Ride,NULL,1257265982,1GUHIUT8tM0dPqQRGrrykQ
3996,Rudolph The Red Nosed Reindeer,NULL,1257265982,7hzZESy7YRonXwgiV62hX2
3997,O Little Town Of Bethlehem,NULL,1257265982,0yJv2eGoprk8gHKSnH2ki5
3998,Christmas In New Orleans,NULL,1257265982,1oHxg2OBkzilAgtmL3uYSE
3999,Neu Chicago :: Side A :: For Dance,NULL,1257265982,3Y1BThO9RaVCM8P1Db4HI5
4000,High,NULL,1257265982,1UF3y7YPuvH8FtYBTFafHY
4001,Psychedelic Stereo,NULL,1257265982,3BBiaTLrwRlSkozCTFtrsT
4002,You Don't Even Know Where It's At,NULL,1257265982,2obMBCBPqm2N8XkBmWdUcb
4003,Crave You,NULL,1257265982,20qWgXY0EZIm0hSzuU91Hk
4004,Shooting Stars,NULL,1257265982,5p6ecNers2CGgfWsJGQtrk
4005,Hold You (Hold Yuh),NULL,1257265982,2SAzkJDEo9Qs2jLUwpjP4h
4006,Lovers,NULL,1257265982,3V8M0m69YruyJ0qb60t37S
4007,_,NULL,1257265982,5Otnbz9WPBCsJMEvvNlDFP
4008,Polish Girl,NULL,1257265982,2JGSZk5y65ZF79mtDz0o9r
4009,I Follow Rivers - The Magician Remix,NULL,1257265982,4Jv7lweGIUOFQ7Oq2AtAh9
4010,You,NULL,1257265982,4WOdNbZZQ1yWNqzrvjuPUx
4011,Get Free,NULL,1257265982,5nJUnboMKBuJi2IOZgNKtU
4012,Fineshrine,NULL,1257265982,5KeyVNymqfqac1wLDseK8v
4013,The Mother We Share,NULL,1257265982,77hY8WQ9bgSXaAH5jmgzHN
4014,Hold On (feat. Sampha),NULL,1257265982,3vlVbJmvSm3x5Hqmnzh8HI
4015,Days Don't Fade,NULL,1257265982,5rh6VOp1gWlWLlpdPu3RQp
4016,Fields,NULL,1257265982,30Ad8vklESoJateoqdJ0rU
4017,Got Somebody,NULL,1257265982,NULL
4018,I <3 U SO,NULL,1257265982,5AblLyBq3BDpDoo1vgXZYO
4019,Fifteen,NULL,1257265982,4PUAjhaBoC6yRSztUuRxsm
4020,A House of Many Ghosts,NULL,1257265982,7LBM5xoVtWr2BOGzjgKBpV
4021,Pair of Dice (Radio Edit),NULL,1257265982,1VWSVt3Q0nGbq2EHe2zJYJ
