artist,spotify_id,id
Adam Levine,1232728199,10490
Ralph Tresvant,1232728199,10500
Oh Wonder,1232728199,10510
K.Flay,1232728199,10520
Alina Baraz,1232728199,10527
High Rule,1232728199,10536
Miike Snow,1232728199,10548
Misun,1232728199,10558
Royal Tongues,1232728199,10567
The Brinks,1232728199,10575
The Half Earth,1232728199,10583
"",1234239797,9518
Rhymefest,1234239797,9528
Chris Brown,1234239797,9536
Wilson Pickett,1232728199,9774
James & Bobby Purify,1232728199,9782
Booker T. & the M.G.'s,1232728199,9794
The Ikettes,1232728199,9805
The Game,1232728199,9818
Etta Bond,1232728199,9828
Magic City Hippies,1232728199,9839
Big Sean,1232728199,9849
Daryl Hall & John Oates,1232728199,9858
The Rolling Stones,1232728199,9868
SonReal,1232728199,9878
Hoodie Allen,1232728199,9890
Gary Clark Jr.,1232728199,9897
Kutt Calhoun,1232728199,9905
D.VELOPED,1232728199,9915
Future,1232728199,9925
Eminem,1232728199,9936
Aziz,1232728199,9946
DJ Khaled,1232728199,9959
Whitney Houston,1232728199,9970
Odd Future,1232728199,9980
The Party Boyz,1232728199,9990
Paul Simpson,1232728199,10002
Sylvan Esso,1232728199,10012
The Underachievers,1232728199,10022
Nate Dogg,1232728199,10033
N8,1232728199,10044
Stevie Wonder,1232728199,10057
Tommy James,1232728199,10067
Giorgio Moroder,1232728199,10077
Funkadelic,1232728199,10087
Haircut 100,1232728199,10097
A.K. Paul,1232728199,10107
Gregory Porter,1232728199,10117
The Arcs,1232728199,10128
Foals,1232728199,10137
Neon Indian,1232728199,10147
Lana Del Rey,1232728199,10156
Iggy Azalea,1232728199,10166
Melanie Fiona,1232728199,10176
Pretty Lights,1232728199,10187
Caroline Smith,1232728199,10198
Professor Green,1232728199,10208
Lebo M.,1232728199,10219
Migos,1232728199,10230
DJ Dow Jones,1232728199,10241
V.I.C.,1232728199,10251
Juicy J,1232728199,10261
Far East Movement,1232728199,10271
The Supremes,1232728199,10282
The Crystals,1232728199,10293
The Isley Brothers,1232728199,10304
Chuck Berry,1232728199,10315
Commodores,1232728199,10325
Alice Russell,1232728199,10335
Thunderball,1232728199,10346
Ed Sheeran,1232728199,10357
Madilyn Paige,1232728199,10366
Howie Day,1232728199,10376
Benjamin Francis Leftwich,1232728199,10386
Keiko,1232728199,10396
Savannah Outen,1232728199,10407
Passenger,1232728199,10417
Train,1232728199,10426
LIGHTS,1232728199,10436
Liquid Soul,1232728199,10448
Mauro Ottolini 8Funk Project,1232728199,10458
Lanterns on the Lake,1232728199,10468
Kid Ink,1232728199,10478
Monty,1232728199,10488
Matoma,1232728199,10499
Alabama Shakes,1232728199,10509
Purity Ring,1232728199,10521
Catey Shaw,1232728199,10532
Kygo,1232728199,10543
CeeLo Green,1232728199,10554
Dresses,1232728199,10565
Knxwledge,1232728199,10577
Zara Kershaw,1232728199,10586
"G-Spot, S. Nim, Mike B, J Dub, Ryan B",1234239797,9519
Lupe Fiasco,1234239797,9529
