id,vid,name,artist,genre,tags,created_at,updated_at,staff,likes,director,spotify_id,spotify_pop,energy,danceability,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_id
381,qYx7YG0RsFY,I Love College,Asher Roth,", hip hop,",,12/25/15 0:00,,0,0,,1akgiRM3mN2nxu2AX6ACCW,0,0.815,0.708,8,-4.044,1,0.25,0.107,0,0.326,0.656,86.493,19
38,93HWMspjxqI,One in a Million,Andrew Rayel,", trance, big room trance,",,12/25/15 0:00,,0,0,,0TNeJWS27u6zKUFJ4HBHGH,0,0.741,0.47,4,-9.552,0,0.0507,0.0032,0,0.222,0.147,131.972,10
359,npvNPORFXpc,Fitzpleasure,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,,7DdXf9x75iEVCHWfoRwRuR,0,0.604,0.582,9,-6.962,1,0.0493,0.134,0.000957,0.102,0.342,143.952,7
70,aNYjOVo5IEw,Something Good,Alt-J,", indie rock, indie pop, art rock, folktronica,",,12/25/15 0:00,,0,0,,3xqxETvPg43KWP0HOGiOmu,0,0.649,0.673,7,-10.661,1,0.0325,0.0399,0.0897,0.108,0.41,108.941,7
230,VfCSx5641U4,"Your Drums, Your Love",AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,,7IdTIjPXUc7bJQyabnmQiT,0,0.768,0.539,1,-7.935,1,0.0394,0.334,0.0436,0.124,0.132,124.021,8
281,5Euj9f3gdyM,The Suburbs,Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,,7HCj6qN0tG2HN1eLQyWUBg,0,0.0787,0.308,6,-22.419,0,0.0362,0.877,0.148,0.223,0.0475,109.885,13
199,58RSC7HO9aU,Easy Rider,Action Bronson,", hip hop,",,12/25/15 0:00,,0,0,,4AH8GJVosfrbfhe5NVTAnx,0,0.833,0.297,11,-4.049,1,0.0429,0.0298,0,0.181,0.694,90.978,4
136,Bznxx12Ptl0,I'm an Albatraoz,AronChupa,", electro house, nu-disco, hip hop, hip house, electropop, melbourne bounce,",,12/25/15 0:00,,0,0,,5MhsZlmKJG6X5kTHkdwC4B,0,0.795,0.885,0,-5.468,1,0.236,0.595,0.0128,0.11,0.554,128.035,16
121,hRXc_-c_9Xc,We Exist,Arcade Fire,", indie rock, art rock, baroque pop, post-punk revival,",,12/25/15 0:00,,0,0,,3hDpkvXDbmcrKya8CUS6lN,0,0.506,0.567,1,-8.742,1,0.0264,0.00731,0.205,0.103,0.354,116.392,13
374,FFhs6_b8tzs,Feel I Bring,Aer,", hip hop, alternative, rap, reggae, pop,",,12/25/15 0:00,,0,0,,67G84ZLTSoiRLmojkuBLzw,0,0.719,0.81,5,-10.253,1,0.0519,0.165,0.000168,0.135,0.498,135.049,15
576,foE1mO2yM04,I TOOK A PILL IN IBIZA (SEEB REMIX),Mike Posner,", electronic, pop,   ,",,3/16/16 5:18,,0,1,,7HzCxalzzYQOFb9a7Xs3j6,0,0.729,0.671,7,-6.636,0,0.12,0.0276,1.48E-05,0.149,0.699,101.996,1
231,Vhh-XF01Ats,Best Be Believing,AlunaGeorge,", synthpop, trip hop, r&b, uk garage,",,12/25/15 0:00,,0,0,,1hcjoDBAhytssvgrY0gJuN,0,0.731,0.746,4,-4.593,0,0.0437,0.219,0.000261,0.117,0.738,95.056,8
300,OhvH1pyVLzw,Before You Go,Beat Culture,", electronic,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,28
431,2XY3AvVgDns,Countdown,Beyonce,", r&b, pop, hip hop, soul,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,30
109,nIk0ztHU3yU,Barcode,Blood Diamond,", electronic, hip hop,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,34
81,_GiEoLXC9nk,Phone Sex,Blood Diamonds and Grimes,", electronic, synthpop, dream pop, electropop, ethereal, wave, ambient ,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,35
27,isQlpw57L1M,"Gold (Snakehips Remix),",Bondax,", electropop,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,36
152,U9UTyX-qqVY,Timeless Dream,Cajoline ,", electronic, disco,",,12/25/15 0:00,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40
106,feA64wXhbjo,Shooting Stars,Bag Raiders,", alternative dance, electronica,synthpop, indietronica, house,",,12/25/15 0:00,,0,0,,6qWNnWeTNTr4nulEtHh96A,0,0.716,0.648,11,-5.714,1,0.0381,0.0498,0.000584,0.0976,0.625,124.966,23
252,9iCd6UHR-3I,Still Fly,Big Tymers,", hip hop, southern rap,",,12/25/15 0:00,,0,0,,563vSy3HB5NHxel1VGQCW6,0,0.568,0.714,7,-5.915,1,0.273,0.218,0.000386,0.101,0.59,149.031,32
175,cZaJYDPY-YQ,I Don't Fuck With You,Big Sean,", hip hop,",,12/25/15 0:00,,0,0,,7FYH5AW3bVfZHJIQpq3UOA,0,0.727,0.823,1,-5.486,1,0.0722,0.0358,0,0.328,0.406,97.996,31
240,LPTE9SxYUVE,All I See,Bondax,", electropop,",,12/25/15 0:00,,0,0,,3Vr1FxMHtBLnQASeLl8YmG,0,0.728,0.805,9,-6.296,1,0.0855,0.0193,0.24,0.617,0.633,112.024,36
