id,mood,song_id,mood_id,type
402,dirty south rap,1,101,genre
403,dwn trap,1,NULL,genre
404,gangster rap,1,82,genre
405,hip hop,1,87,mastergenre
406,pop rap,1,7,genre
407,rap,1,8,genre
408,southern hip hop,1,61,genre
409,trap music,1,63,genre
410,underground hip hop,1,83,genre
411,alternative dance,160,27,genre
412,alternative dance,161,27,genre
413,alternative dance,396,27,genre
414,electronic,160,31,mastergenre
415,electronic,161,31,mastergenre
416,electronic,396,31,mastergenre
417,indie pop,160,45,genre
418,indie pop,161,45,genre
419,indie pop,396,45,genre
420,indietronica,160,55,genre
421,indietronica,161,55,genre
422,indietronica,396,55,genre
423,metropopolis,160,24,genre
424,metropopolis,161,24,genre
425,metropopolis,396,24,genre
426,synthpop,160,33,genre
427,synthpop,161,33,genre
428,synthpop,396,33,genre
429,alternative dance,162,27,genre
430,alternative dance,259,27,genre
431,dance-punk,162,90,genre
432,dance-punk,259,90,genre
433,folk-pop,162,42,genre
434,folk-pop,259,42,genre
435,indie pop,162,45,genre
436,indie pop,259,45,genre
437,indie poptimism,162,102,genre
438,indie poptimism,259,102,genre
439,indie rock,162,46,genre
440,indie rock,259,46,genre
441,indietronica,162,55,genre
442,indietronica,259,55,genre
443,new rave,162,32,genre
444,new rave,259,32,genre
445,shimmer pop,162,56,genre
446,shimmer pop,259,56,genre
447,synthpop,162,33,genre
448,synthpop,259,33,genre
449,alternative dance,4,27,genre
450,alternative dance,59,27,genre
451,alternative dance,244,27,genre
452,alternative dance,490,27,genre
453,chillwave,4,51,genre
454,chillwave,59,51,genre
455,chillwave,244,51,genre
456,chillwave,490,51,genre
457,escape room,4,53,genre
458,escape room,59,53,genre
459,escape room,244,53,genre
460,escape room,490,53,genre
461,grave wave,4,54,genre
462,grave wave,59,54,genre
463,grave wave,244,54,genre
464,grave wave,490,54,genre
465,indie pop,4,45,genre
466,indie pop,59,45,genre
467,indie pop,244,45,genre
468,indie pop,490,45,genre
469,indie r&b,4,23,genre
470,indie r&b,59,23,genre
471,indie r&b,244,23,genre
472,indie r&b,490,23,genre
473,indietronica,4,55,genre
474,indietronica,59,55,genre
475,indietronica,244,55,genre
476,indietronica,490,55,genre
477,metropopolis,4,24,genre
478,metropopolis,59,24,genre
479,metropopolis,244,24,genre
480,metropopolis,490,24,genre
481,new rave,4,32,genre
482,new rave,59,32,genre
483,new rave,244,32,genre
484,new rave,490,32,genre
485,pop,4,4,mastergenre
486,pop,59,4,mastergenre
487,pop,244,4,mastergenre
488,pop,490,4,mastergenre
489,shimmer pop,4,56,genre
490,shimmer pop,59,56,genre
491,shimmer pop,244,56,genre
492,shimmer pop,490,56,genre
493,synthpop,4,33,genre
494,synthpop,59,33,genre
495,synthpop,244,33,genre
496,synthpop,490,33,genre
497,alternative dance,163,27,genre
498,alternative dance,321,27,genre
499,alternative rock,163,39,genre
500,alternative rock,321,39,genre
501,brooklyn indie,163,69,genre
502,brooklyn indie,321,69,genre
503,garage rock,163,43,genre
504,garage rock,321,43,genre
505,indie pop,163,45,genre
506,indie pop,321,45,genre
507,indie rock,163,46,genre
508,indie rock,321,46,genre
509,indietronica,163,55,genre
510,indietronica,321,55,genre
511,neo-psychedelic,163,71,genre
512,neo-psychedelic,321,71,genre
513,synthpop,163,33,genre
514,synthpop,321,33,genre
515,bmore,5,179,genre
