electronic,,,1,2,2,3
hip hop,"hip hop,","hip hop,",,,,
hip hop,"hip hop,","hip hop,",,,,
"hip hop, southern rap","hip hop, southern rap,","hip hop,","hip hop, southern rap,"," southern rap,","hip hop, southern rap,"," southern rap,"
"instrumental hip hop, trip hop, downtempo, electronic, IDM","instrumental hip hop, trip hop, downtempo, electronic, IDM,","instrumental hip hop,","instrumental hip hop, trip hop,"," trip hop,","instrumental hip hop, trip hop,"," trip hop,"
"electronic, hip hop","electronic, hip hop,","electronic,","electronic, hip hop,"," hip hop,","electronic, hip hop,"," hip hop,"
"electronic, synthpop, dream pop, electropop, ethereal, wave, ambient ","electronic, synthpop, dream pop, electropop, ethereal, wave, ambient ,","electronic,","electronic, synthpop,"," synthpop,","electronic, synthpop,"," synthpop,"
"future garage, electronic","future garage, electronic,","future garage,","future garage, electronic,"," electronic,","future garage, electronic,"," electronic,"
"future garage, electronic","future garage, electronic,","future garage,","future garage, electronic,"," electronic,","future garage, electronic,"," electronic,"
"future garage, electronic","future garage, electronic,","future garage,","future garage, electronic,"," electronic,","future garage, electronic,"," electronic,"
"future garage, electronic","future garage, electronic,","future garage,","future garage, electronic,"," electronic,","future garage, electronic,"," electronic,"
"indie pop, psychedelic pop","indie pop, psychedelic pop,","indie pop,","indie pop, psychedelic pop,"," psychedelic pop,","indie pop, psychedelic pop,"," psychedelic pop,"
"electronic, dance","electronic, dance,","electronic,","electronic, dance,"," dance,","electronic, dance,"," dance,"
"electropop, edm, electronic rock","electropop, edm, electronic rock,","electropop,","electropop, edm,"," edm,","electropop, edm,"," edm,"
electronic,"electronic,","electronic,",,,,
"electronic, disco","electronic, disco,","electronic,","electronic, disco,"," disco,","electronic, disco,"," disco,"
"EDM, electro house, electropop, dance-pop, nu-disco","EDM, electro house, electropop, dance-pop, nu-disco,","EDM,","EDM, electro house,"," electro house,","EDM, electro house,"," electro house,"
"EDM, electro house, electropop, dance-pop, nu-disco","EDM, electro house, electropop, dance-pop, nu-disco,","EDM,","EDM, electro house,"," electro house,","EDM, electro house,"," electro house,"
"EDM, electro house, electropop, dance-pop, nu-disco","EDM, electro house, electropop, dance-pop, nu-disco,","EDM,","EDM, electro house,"," electro house,","EDM, electro house,"," electro house,"
"EDM, electro house, electropop, dance-pop, nu-disco","EDM, electro house, electropop, dance-pop, nu-disco,","EDM,","EDM, electro house,"," electro house,","EDM, electro house,"," electro house,"
"EDM, electro house, electropop, dance-pop, nu-disco","EDM, electro house, electropop, dance-pop, nu-disco,","EDM,","EDM, electro house,"," electro house,","EDM, electro house,"," electro house,"
"alternative pop, indie rock, alternative dance, alternative R&B, jazz, electropop","alternative pop, indie rock, alternative dance, alternative R&B, jazz, electropop,","alternative pop,","alternative pop, indie rock,"," indie rock,","alternative pop, indie rock,"," indie rock,"
"hip hop, R&B","hip hop, R&B,","hip hop,","hip hop, R&B,"," R&B,","hip hop, R&B,"," R&B,"
hip hop,"hip hop,","hip hop,",,,,
"electropop, dance pop","electropop, dance pop,","electropop,","electropop, dance pop,"," dance pop,","electropop, dance pop,"," dance pop,"
"electropop, dance pop","electropop, dance pop,","electropop,","electropop, dance pop,"," dance pop,","electropop, dance pop,"," dance pop,"
